2015, 1.520, -0.510
2016, 1.270, -0.250
2017, 1.580, 0.310
2018, 1.890, 0.310
2019, 1.390, -0.500
2020, 0.610, -0.780
2021, 1.437, 0.827
2021.9, 0.920, 0.020
2021.10, 0.760, -0.160
2021.11, 1.067, 0.307
2021.12, 1.437, 0.370
2022.1, 1.277, -0.160
2022.2, 1.390, 0.113
2022.3, 1.454, 0.064
2022.3.30, 1.229, 0.011
2022.3.31, 1.454, 0.225
2022.4.1, 1.238, -0.216
2022.4.4, 1.250, 0.012
2022.4.5, 1.280, 0.030
2022.4.6, 1.241, -0.039
